Date,CPI,E INFL,GDP growth,retail food services,PPI,Risk Premium,QE,Real interest rate,unemployment,oil,Open,High,Low,Close,Volume,M2NS
2002-12-01,2.37691,1.9511579,0.11130833062837509,293947,4.8,1.2647531,725800.5,1.69225366,6.0,28.33,936.31,954.28,869.45,879.82,14440911110.0,5804.0
2003-01-01,2.597403,2.0790118,3.326408419325001,295248,6.8,1.1969138,724718.4,1.48820174,5.8,31.18,879.82,935.05,840.34,855.7,17083099998.0,5793.5
2003-02-01,2.980877,2.1065381,1.700788466592381,291167,9.2,1.1772516,721326.0,1.466379,5.9,32.77,855.7,864.64,806.29,841.15,14019611111.0,5820.8
2003-03-01,3.020134,1.903343,2.964778361598233,296325,11.4,1.151881,723651.25,1.22359095,5.9,30.61,841.15,895.9,788.9,848.18,16711127779.0,5882.1
2003-04-01,2.224694,1.9895133,2.253232795984018,295600,6.0,1.1920924,736926.4,1.30961847,6.0,25.0,848.18,924.24,847.85,916.92,16483116666.0,5938.5
2003-05-01,2.057842,1.8385312,5.2580453529982965,296410,5.9,1.2140376,738358.0,1.37072098,6.1,25.86,916.92,965.38,902.83,963.59,17195611111.0,5938.2
2003-06-01,2.112285,2.2847306,7.119807450954315,299626,7.1,1.1568499,738711.75,0.90511574,6.3,27.65,963.59,1015.33,963.59,974.5,17344111112.0,5992.4
2003-07-01,2.109939,1.6263355,7.483161740322808,302747,6.5,1.1886766,741656.2,1.12868896,6.2,28.35,974.5,1015.41,962.1,990.31,17529555555.0,6035.3
2003-08-01,2.158273,1.8526073,5.681036007327602,307809,6.5,1.4043515,740216.5,1.75170446,6.1,29.89,990.31,1011.01,960.84,1008.01,13823038889.0,6091.8
2003-09-01,2.320442,1.9804944,6.21731439068761,305933,6.2,1.4043422,743206.75,1.89723825,6.1,27.11,1008.01,1040.29,990.36,995.97,16633394445.0,6063.9
2003-10-01,2.040816,1.7885532,4.497227607185465,304809,6.1,1.3052642,747068.4,1.38081936,6.0,29.61,995.97,1053.79,995.97,1050.71,17943611112.0,6048.3
2003-11-01,1.76503,1.9308072,3.882478871590689,308527,5.8,1.3863626,747801.25,1.71390165,5.8,28.75,1050.71,1063.65,1031.2,1058.2,13590677779.0,6077.0
2003-12-01,1.879491,2.2234564,1.9297105714907774,307407,6.6,1.3599259,759809.6,1.71357266,5.7,29.81,1058.2,1112.56,1053.41,1111.92,15466183332.0,6098.6
2004-01-01,1.926252,1.9069713,1.2125459700836971,309254,6.1,1.3131558,759938.25,1.70195436,5.7,31.28,1111.92,1155.38,1105.08,1131.13,18233333332.0,6058.9
2004-02-01,1.693064,1.9871939,2.5525133125505772,311393,4.5,1.2762915,753644.25,1.57158074,5.6,30.86,1131.13,1158.98,1124.44,1144.94,15547555554.0,6089.0
2004-03-01,1.737242,1.7042839,4.066089802869403,316912,1.9,1.2376694,755538.0,1.47016466,5.8,33.63,1144.94,1163.23,1087.16,1126.21,18665499999.0,6168.5
2004-04-01,2.285093,1.8527671,2.251185798645535,313512,8.0,1.2164152,762182.0,1.35814941,5.6,33.59,1126.21,1150.57,1107.23,1107.3,17562166667.0,6235.9
2004-05-01,3.051771,2.2141024,3.848934654052781,318964,10.1,1.3867434,762913.75,1.88324516,5.6,37.57,1107.3,1127.74,1076.32,1120.68,16292444444.0,6249.6
2004-06-01,3.266195,2.5740778,2.795740160588044,314958,9.2,1.3734061,770590.0,1.94657611,5.6,35.18,1120.68,1146.34,1113.32,1140.84,15294166667.0,6272.8
2004-07-01,2.990756,2.2558469,4.535431895360996,318549,9.7,1.3415503,776094.75,1.93379862,5.5,38.22,1140.84,1140.84,1078.78,1101.72,16269777778.0,6279.1
2004-08-01,2.654388,2.3408529,3.700295803298477,318977,10.0,1.3122118,771095.5,1.85580269,5.4,42.74,1101.72,1109.68,1060.72,1104.24,14770444443.0,6300.9
2004-09-01,2.537797,2.6767708,3.2754259779958677,324569,9.2,1.2401586,786291.4,1.48469164,5.4,43.2,1104.24,1131.54,1099.18,1114.58,14905483332.0,6334.0
2004-10-01,3.189189,2.145831,4.1876940518538674,326740,10.7,1.2493974,788387.5,1.6871063,5.5,49.78,1114.58,1142.05,1090.29,1130.2,17506111110.0,6355.6
2004-11-01,3.523035,2.2068239,3.7942635208289417,327836,12.5,1.218337,798767.75,1.60768876,5.4,43.11,1130.2,1188.46,1127.6,1173.82,16922377778.0,6405.1
2004-12-01,3.255562,1.7525286,6.212682867552738,331874,10.7,1.2739643,808972.6,1.90953662,5.4,39.6,1173.78,1217.33,1173.78,1211.92,17279166667.0,6447.4
2005-01-01,2.969762,2.1405957,5.19790900980475,328696,9.5,1.2570988,807094.75,1.7792759,5.3,44.51,1211.92,1217.8,1163.75,1181.27,17499333333.0,6404.1
2005-02-01,3.007519,2.1370072,3.715753369048789,333026,9.5,1.2475411,800556.75,1.81315912,5.4,45.48,1181.27,1212.44,1180.95,1203.6,16276338888.0,6405.7
2005-03-01,3.148346,2.3342418,0.5139619795755337,333581,10.6,1.2800226,802471.6,1.97934111,5.2,53.1,1203.6,1229.11,1163.69,1180.59,21674527778.0,6464.9
2005-04-01,3.510638,2.4622893,2.080391788509224,336583,10.2,1.2789227,803656.0,2.02052684,5.2,51.88,1180.59,1191.88,1136.15,1156.85,24124594443.0,6508.3
2005-05-01,2.80275,2.5780667,1.2802684134706743,334522,7.5,1.221808,805624.0,1.78986568,5.1,48.65,1156.85,1199.56,1146.18,1191.5,21845550000.0,6459.8
2005-06-01,2.530311,2.3619011,3.9394037798166632,343998,7.1,1.2025153,812643.2,1.66688811,5.0,54.35,1191.5,1219.59,1188.3,1191.33,22407800000.0,6511.8
2005-07-01,3.167899,2.3318043,3.5393897748041256,346576,8.9,1.2140319,815370.0,1.82002108,5.0,57.52,1191.33,1245.15,1183.55,1234.18,20813705553.0,6530.7
2005-08-01,3.641161,2.4638191,4.103939173542641,343307,9.6,1.2407981,815141.8,2.00821677,4.9,63.98,1234.18,1245.86,1201.07,1220.33,23350050001.0,6555.0
2005-09-01,4.686677,2.3538136,0.19061422073150647,343956,14.5,1.0781531,820696.75,1.73569017,5.0,62.91,1220.33,1243.13,1205.35,1228.81,24876394444.0,6587.7
2005-10-01,4.347826,2.8474638,1.1518021485368595,344097,16.2,1.1991322,819207.25,1.96704484,5.0,58.54,1228.81,1233.34,1168.2,1207.01,27663216665.0,6615.0
2005-11-01,3.455497,3.0510174,3.526319851162022,347325,12.3,1.2688305,826201.6,2.07568901,5.0,55.24,1207.01,1270.64,1201.07,1249.48,25057150000.0,6655.7
2005-12-01,3.415659,3.2271725,5.384538788880985,347405,12.8,1.2720147,840054.25,2.01834727,4.9,56.86,1249.48,1275.8,1246.59,1248.29,23197850001.0,6708.9
2006-01-01,3.985317,2.4027758,7.236492133626182,357331,13.4,1.2359447,836539.0,2.06484172,4.7,62.99,1248.29,1294.9,1245.74,1280.08,27339805558.0,6707.1
2006-02-01,3.597497,2.5082827,4.656527369171869,354706,10.2,1.2850912,833804.0,2.20441278,4.8,60.21,1280.08,1297.57,1253.61,1280.66,23811077777.0,6724.2
2006-03-01,3.362649,1.768612,2.920056782608987,355665,8.5,1.2783066,838655.6,2.38362088,4.7,62.06,1280.66,1310.88,1268.42,1294.87,28280577778.0,6796.7
2006-04-01,3.545735,2.6830379,-0.284551842932514,357423,9.3,1.2794002,838093.75,2.35839303,4.7,70.26,1302.88,1318.16,1280.74,1310.61,24060238890.0,6860.1
2006-05-01,4.166667,2.8830197,-0.18756816717661273,356704,11.5,1.2906453,842451.2,2.40637015,4.6,69.78,1310.61,1326.7,1245.34,1270.09,30173794443.0,6798.4
2006-06-01,4.318766,2.7447553,-0.4463964301610135,357879,11.8,1.2901259,846038.0,2.45080986,4.6,68.56,1270.05,1290.68,1219.29,1270.2,30485144444.0,6852.1
2006-07-01,4.145343,2.8005219,-0.5019086483335147,359006,10.5,1.2772985,846874.0,2.49634953,4.7,73.67,1270.06,1280.42,1224.54,1276.66,25749011112.0,6873.6
2006-08-01,3.818737,2.8670646,2.3453762317299387,360691,10.3,1.2330468,844411.4,2.2982861,4.7,73.23,1278.53,1306.74,1261.3,1303.82,28047566667.0,6892.3
2006-09-01,2.062374,2.6513028,3.309577339551308,358961,3.2,1.1990496,844410.75,2.20605719,4.5,61.96,1303.8,1340.28,1290.93,1335.85,27223022222.0,6919.7
2006-10-01,1.305221,2.4007047,3.774378742634422,358462,-4.0,1.2147361,849620.75,2.21206207,4.4,57.81,1335.82,1389.45,1327.1,1377.94,31552011111.0,6962.5
2006-11-01,1.973684,1.8893923,3.367706142961074,359266,0.9,1.1784627,858302.8,2.1998854,4.5,58.76,1377.76,1407.89,1360.98,1400.63,30746627777.0,7024.9
2006-12-01,2.54065,1.9891528,3.217093703599228,363730,2.6,1.1687616,862756.75,2.12213778,4.4,62.47,1400.63,1431.81,1385.93,1418.3,26432655554.0,7100.1
2007-01-01,2.075643,2.6838116,-1.402833935507005,363616,-0.3,1.2025925,861258.6,2.14807579,4.6,53.68,1418.03,1441.61,1403.97,1438.24,31492333333.0,7098.2
2007-02-01,2.415199,2.6396415,1.0478060734957257,364006,5.0,1.2360165,867225.0,2.28715091,4.5,57.56,1437.9,1461.57,1389.42,1406.82,28802772220.0,7109.7
2007-03-01,2.778779,2.7976602,2.885332626577464,367158,7.1,1.1947259,868370.75,2.0249864,4.4,62.05,1406.8,1438.89,1363.98,1420.86,37567916666.0,7207.6
2007-04-01,2.573697,2.7184483,2.4724201797046876,366187,7.1,1.209512,867195.25,2.07748685,4.5,67.49,1420.83,1498.02,1416.37,1482.37,31684705556.0,7296.5
2007-05-01,2.690864,2.9243064,3.2126165726641895,370934,7.5,1.1994456,875321.4,2.0318442,4.4,67.21,1482.37,1535.56,1476.7,1530.62,36087805555.0,7241.0
2007-06-01,2.687038,3.2146150000000002,2.2442409270400323,368154,7.7,1.2790326,867222.25,2.24630973,4.6,71.05,1530.62,1540.56,1484.18,1503.35,36290444444.0,7285.1
2007-07-01,2.358231,2.614408,1.3965187693974683,369614,8.3,1.2798023,870706.0,2.37357342,4.7,76.93,1504.66,1555.9,1454.25,1455.27,39076350000.0,7287.9
2007-08-01,1.970083,2.6534371,3.09865426608546,371358,4.5,1.2385483,867258.6,2.13388077,4.6,70.76,1455.18,1503.89,1370.6,1473.99,50767644446.0,7347.2
2007-09-01,2.755052,2.5740481,3.5240365898669284,372869,8.1,1.1986681,878775.5,1.94622258,4.7,77.17,1473.96,1538.74,1439.29,1526.75,32116499999.0,7367.6
2007-10-01,3.536175,2.2920506,3.278110459273952,375289,12.5,1.1870789,877940.6,1.98911422,4.7,82.34,1527.29,1576.09,1489.56,1549.38,42234766664.0,7378.6
2007-11-01,4.306203,2.6320037,1.9228155822522344,378860,14.4,1.1258192,886426.5,1.82624712,4.7,92.41,1545.79,1545.79,1406.1,1481.14,47914972224.0,7436.8
2007-12-01,4.081269,2.5437758,-1.9554893684234123,374298,13.0,1.1237103,885789.75,1.38696881,5.0,90.93,1479.63,1523.57,1435.65,1468.36,36012038888.0,7504.2
2008-01-01,4.280294,2.466622,-3.043396159893534,375236,17.0,1.1340748,894807.8,1.39949068,5.0,92.18,1467.97,1471.77,1270.05,1378.55,54708522221.0,7502.6
2008-02-01,4.026556,2.2977869,-2.314780734177575,371833,15.9,1.1120286,881700.25,1.11112286,4.9,94.99,1378.6,1396.02,1316.75,1330.63,43631183333.0,7585.2
2008-03-01,3.981456,1.9336763,1.0596181790564814,372745,18.6,1.1047946,890096.0,1.02522008,5.1,103.64,1330.45,1359.68,1256.98,1322.7,51771761111.0,7719.2
2008-04-01,3.93689,2.0175043,4.407372427693101,372572,19.5,1.1293766,886510.6,1.06289422,5.0,109.07,1326.41,1404.57,1324.35,1385.59,47765905556.0,7767.6
2008-05-01,4.175543,2.2868435,3.1079797627680708,376036,23.3,1.2405561,892986.0,1.40051629,5.4,122.8,1385.97,1440.24,1373.07,1400.38,44994711111.0,7709.1
2008-06-01,5.02179,2.7285115,1.308900235485703,376455,26.7,1.2169889,895391.5,1.48755401,5.6,132.32,1399.62,1404.05,1272.0,1280.0,53674466666.0,7731.7
2008-07-01,5.600123,2.9490198,-1.8289420690954468,375038,30.4,1.1970234,905993.4,1.44558109,5.8,132.72,1276.69,1292.17,1200.44,1267.38,69433649999.0,7745.0
2008-08-01,5.371855,3.0525448,-4.955503260508863,372284,26.6,1.184959,906233.75,1.35649733,6.1,113.24,1269.42,1313.15,1247.45,1282.83,47925561111.0,7742.7
2008-09-01,4.936927,2.7309252,-9.343685761010766,366729,23.4,1.1731495,1009474.0,1.23957472,6.1,97.23,1287.83,1303.04,1106.42,1166.36,77781844443.0,7815.6
2008-10-01,3.655186,1.6072395,-8.61204539910488,352950,11.7,1.2066017,1727614.6,1.48506331,6.5,71.58,1164.17,1167.03,839.8,968.75,88790572223.0,7922.1
2008-11-01,1.069575,0.78457206,-11.064612005802983,339350,-2.2,1.2455393,2145077.75,1.63162854,6.8,52.45,968.67,1007.51,741.02,896.24,64255672223.0,8012.5
2008-12-01,0.0914129,0.28299557,-7.864168093489898,332091,-7.7,1.1710135,2222737.4,0.97537985,7.3,39.95,888.61,918.85,815.69,903.25,62713594442.0,8231.5
2009-01-01,0.0298465,0.47357505,-4.478861011937241,336929,-9.8,1.15917,2033836.75,0.93854104,7.8,43.44,902.99,943.85,804.3,825.88,62272577777.0,8276.4
2009-02-01,0.2361911,0.38164688,0.1543527553459545,335576,-13.4,1.1539969,1881628.5,1.03930649,8.3,43.32,823.09,875.01,734.52,735.09,69162338890.0,8305.2
2009-03-01,-0.3835562,-0.48067803,-2.2841408683739712,329747,-19.8,1.1647245,1984832.25,1.25074177,8.7,46.54,729.57,832.98,666.79,797.87,89913133333.0,8441.1
2009-04-01,-0.7368857,1.2289362,-0.4610281800919531,331352,-21.8,1.1268905,2123506.2,0.71281967,9.0,50.18,793.59,888.7,783.32,872.81,77141844445.0,8441.5
2009-05-01,-1.281436,1.2972457,-0.11402032953373586,334256,-25.8,1.225951,2134464.0,1.0174109,9.4,57.3,872.74,930.17,866.1,919.14,73119411113.0,8428.6
2009-06-01,-1.426776,1.2745119,-0.07195775131120197,339883,-26.4,1.2439714,2057022.5,1.32210554,9.5,68.61,923.26,956.23,888.86,919.32,62585083333.0,8441.3
2009-07-01,-2.097161,1.5522347,1.4792462936086568,340517,-33.0,1.2420316,2022073.2,1.26690282,9.5,64.44,920.82,996.68,869.32,987.48,59242105555.0,8407.6
2009-08-01,-1.484349,2.0245319,2.126708512366372,346668,-24.0,1.2199233,2034911.25,1.15904037,9.6,72.51,990.22,1039.47,978.51,1020.62,64477372223.0,8386.7
2009-09-01,-1.286206,2.3608109,4.55496982403636,338507,-22.8,1.187508,2122220.0,0.94923764,9.8,67.65,1019.52,1080.15,991.97,1057.08,62386383333.0,8394.9
2009-10-01,-0.1828483,1.6283633,5.34335618477721,341654,-11.2,1.1761974,2173382.25,0.99714116,10.0,72.77,1054.91,1101.36,1019.95,1036.19,63006105555.0,8426.4
2009-11-01,1.838296,1.8070337,4.629844190093828,344375,0.6,1.1927549,2178795.5,1.06141004,9.9,76.66,1036.18,1113.69,1029.38,1095.63,47211961111.0,8501.2
2009-12-01,2.721331,1.7866037,1.7380306087432174,346072,7.2,1.1668623,2219218.0,0.84804056,9.9,74.46,1098.89,1130.38,1085.89,1115.1,49730738885.0,8543.7
2010-01-01,2.625709,1.6957593,1.268126768770151,346043,10.7,1.3275341,2256424.0,1.29792486,9.8,76.17,1116.56,1150.45,1071.59,1073.87,50526433334.0,8464.4
2010-02-01,2.143332,1.7316171,0.8926276436720522,346835,11.7,1.2811064,2267424.75,1.12451541,9.8,73.75,1073.89,1112.42,1044.5,1104.49,46978522223.0,8508.4
2010-03-01,2.313959,1.9701388,4.260540109621744,354360,15.2,1.2516075,2298183.4,0.99873153,9.9,78.83,1105.36,1180.69,1105.36,1169.43,57601972221.0,8576.6
2010-04-01,2.236447,1.587202,4.688860976732716,357461,15.3,1.3081659,2328737.0,1.3091053,9.9,84.82,1171.23,1219.8,1170.69,1186.69,64856616666.0,8601.8
2010-05-01,2.020986,1.562963,4.0765800437649355,354255,14.0,1.2817381,2336799.5,1.22638786,9.6,75.95,1188.58,1205.13,1040.78,1089.41,70923766664.0,8584.2
2010-06-01,1.053349,1.3532178,3.020425491564451,353766,9.4,1.2340777,2337481.8,1.01936098,9.4,74.76,1087.3,1131.23,1028.33,1030.71,61170416668.0,8606.4
2010-07-01,1.235193,0.96279857,2.9355586429095726,354844,11.6,1.1848002,2332588.5,0.84675907,9.4,75.58,1031.1,1120.95,1010.91,1101.6,52654505553.0,8576.9
2010-08-01,1.148105,1.3411201,2.825381876203505,356610,9.9,1.1658476,2317172.25,0.65616389,9.5,77.04,1107.53,1129.24,1039.7,1049.33,47632361110.0,8607.7
2010-09-01,1.143683,0.90713698,3.161854449414381,359646,10.8,1.1467902,2301947.8,0.57706775,9.5,77.84,1049.72,1157.16,1049.72,1141.2,44216361108.0,8649.5
2010-10-01,1.172188,1.3652619,2.7882713097097893,363577,11.4,1.1236226,2304649.0,0.40880525,9.4,82.67,1143.49,1196.14,1131.87,1183.26,49742372224.0,8710.4
2010-11-01,1.143161,1.3962369,1.1760396387924226,367198,10.3,1.1177811,2318469.75,0.33888956,9.8,85.28,1185.71,1227.08,1173.0,1180.55,48417261112.0,8775.5
2010-12-01,1.495723,1.4938723,-1.2119686342584903,369229,11.6,1.2103835,2392691.8,0.62620927,9.3,91.45,1186.6,1262.6,1186.6,1257.64,44991405555.0,8857.6
2011-01-01,1.631847,1.7900451,-3.059233911375134,372025,10.8,1.2715228,2443221.5,0.86397716,9.1,96.52,1257.62,1302.67,1257.62,1286.12,51202744443.0,8850.0
2011-02-01,2.107585,1.9547432,-1.5078181112163516,375064,14.8,1.2505481,2502997.25,0.82968718,9.0,103.72,1289.14,1344.07,1289.14,1327.22,32902033335.0,8887.1
2011-03-01,2.681603,2.1063793,4.754143249143397,378576,15.9,1.2381054,2585821.0,0.87385088,9.0,114.64,1328.64,1332.28,1249.05,1325.83,49726466668.0,9000.6
2011-04-01,3.163631,2.0757372,4.009759861506134,380337,18.7,1.2472274,2672712.75,0.97750283,9.1,123.26,1329.48,1364.56,1294.7,1363.61,42980449999.0,9055.6
2011-05-01,3.568646,2.292302,2.372557312512722,380219,19.3,1.1916548,2749065.0,0.71147484,9.0,114.99,1365.21,1370.58,1311.8,1345.2,45393877781.0,9025.6
2011-06-01,3.558828,2.1177045,-0.45375083909358427,383327,20.4,1.1663034,2829826.4,0.49226699,9.1,113.83,1345.2,1345.2,1258.07,1320.64,47845961112.0,9113.9
2011-07-01,3.628716,2.432348,-1.9047981699161798,382954,20.5,1.1992538,2870763.5,0.57395235,9.0,116.97,1320.64,1356.48,1282.86,1292.28,45056761113.0,9266.6
2011-08-01,3.771208,1.5113148,-0.14966042718639194,383839,18.3,1.1649313,2862173.0,0.39497491,9.0,110.22,1292.59,1307.38,1101.54,1218.89,60232872223.0,9461.8
2011-09-01,3.868357,1.008876,3.1652436957598833,387758,18.8,1.1440924,2857717.0,0.21493888,9.0,112.83,1219.12,1229.29,1114.22,1131.42,57103788887.0,9500.3
2011-10-01,3.5252,1.4656093,6.45928747337954,390104,14.5,1.1446024,2854649.5,0.09856249,8.8,109.55,1131.21,1292.66,1074.77,1253.3,54479816667.0,9550.1
2011-11-01,3.394378,1.5052488,5.045458384497064,391393,13.7,1.1647874,2825922.2,0.13706953,8.6,110.77,1251.0,1277.55,1158.66,1246.96,46819472221.0,9633.1
2011-12-01,2.962419,1.7116627,4.5019407194596734,391585,10.1,1.1775767,2891339.75,0.14446831,8.5,107.87,1246.91,1269.37,1202.37,1257.6,41523572223.0,9729.2
2012-01-01,2.925217,1.4714419,3.0889902941529783,395641,8.0,1.1758662,2913951.5,0.14610051,8.3,110.69,1258.86,1333.47,1258.86,1312.41,44204199999.0,9761.9
2012-02-01,2.871099,1.5014226,2.2183106468516804,400385,5.8,1.1563519,2929930.0,0.02185103,8.3,119.33,1312.45,1378.04,1312.45,1365.68,43547616666.0,9787.0
2012-03-01,2.651398,1.3620536,1.580091990554295,401654,5.0,1.1826697,2887272.5,0.16923691,8.2,125.45,1365.9,1419.15,1340.03,1408.47,46610922225.0,9903.1
2012-04-01,2.30274,1.6869361,1.9676658494432409,400237,0.6,1.2034739,2868677.25,0.19464573,8.2,119.75,1408.47,1422.38,1357.38,1397.91,41534283333.0,9948.9
2012-05-01,1.704254,1.5903147,2.0029331530522545,399367,-2.2,1.1667997,2856312.6,-0.08722198,8.2,110.34,1397.86,1415.32,1291.98,1310.33,48289161111.0,9882.9
2012-06-01,1.663994,0.78930567,1.0734302440864927,395553,-4.1,1.139161,2863870.5,-0.04815105,8.2,95.16,1309.87,1363.46,1266.74,1362.16,45323577778.0,9960.8
2012-07-01,1.408451,1.2966497,0.8401515451499217,397650,-4.5,1.1662842,2858675.25,-0.05482603,8.2,102.62,1362.33,1391.74,1325.41,1379.32,40613227776.0,10005.9
2012-08-01,1.692379,1.3700924,-0.07853985261702601,402287,-0.5,1.1504595,2835816.6,-0.06008478,8.1,113.36,1379.32,1426.68,1354.65,1406.58,39046561111.0,10069.0
2012-09-01,1.991282,1.9315046,-0.20628748060970814,405455,0.7,1.1308315,2817912.0,-0.16925714,7.8,112.86,1406.54,1474.51,1396.56,1440.67,38769044443.0,10165.2
2012-10-01,2.162344,1.6131067,-0.8830720717497109,405572,2.4,1.1512764,2826231.2,-0.09317224,7.8,111.71,1440.9,1470.96,1403.28,1412.16,39862399998.0,10245.8
2012-11-01,1.764134,1.6632266,1.6617901225064393,407386,0.4,1.1812764,2857639.5,-0.00573705,7.7,109.06,1412.2,1434.27,1343.35,1416.18,39716283335.0,10343.0
