Date,Open,High,Low,Close,Volume,M2NS
1980-11-01,127.47,141.96,127.23,140.52,548949997.0,1599.0
1980-12-01,140.52,140.66,125.32,135.76,569805556.0,1604.8
1981-01-01,135.76,140.32,128.57,129.55,530844445.0,1610.6
1981-02-01,129.48,132.02,124.66,131.27,453505555.0,1610.5
1981-03-01,131.27,138.38,128.56,136.0,652516668.0,1633.2
1981-04-01,136.0,137.72,131.58,132.81,624149999.0,1664.5
1981-05-01,132.81,134.92,128.78,132.59,503016671.0,1655.4
1981-06-01,132.59,135.67,128.77,131.21,611650000.0,1667.1
1981-07-01,131.21,131.78,125.96,130.92,529983336.0,1685.1
1981-08-01,130.92,135.18,122.29,122.79,511416667.0,1694.6
1981-09-01,122.79,124.58,110.19,116.18,532855557.0,1706.4
1981-10-01,116.18,123.28,115.0,121.89,554199999.0,1726.4
1981-11-01,122.35,126.97,119.13,126.35,548844446.0,1741.0
1981-12-01,126.35,127.32,121.04,122.55,533038890.0,1760.3
1982-01-01,122.55,123.72,113.63,120.4,537966667.0,1772.8
1982-02-01,119.81,119.81,110.03,113.11,540105554.0,1765.3
1982-03-01,113.11,114.8,104.46,111.96,704827779.0,1781.7
1982-04-01,111.96,119.33,111.48,116.44,631383333.0,1807.9
1982-05-01,115.96,119.92,111.66,111.88,570255553.0,1804.9
1982-06-01,111.97,112.48,107.01,109.61,616961112.0,1822.7
1982-07-01,109.52,112.39,105.57,107.09,636216666.0,1835.0
1982-08-01,107.71,120.26,102.2,119.51,929316665.0,1845.9
1982-09-01,119.52,126.43,117.84,120.42,860022222.0,1859.0
1982-10-01,120.4,140.4,120.15,133.72,1149200000.0,1875.6
1982-11-01,133.72,144.36,132.89,138.53,1031688887.0,1890.1
1982-12-01,138.56,143.68,134.79,140.64,934488889.0,1913.8
1983-01-01,140.65,148.36,138.08,145.3,1031999998.0,1963.9
1983-02-01,145.29,150.88,141.9,148.06,897472222.0,1985.8
1983-03-01,148.07,155.02,148.07,152.96,1056622226.0,2009.6
1983-04-01,152.92,164.43,150.17,164.43,992705553.0,2033.7
1983-05-01,164.41,166.99,160.29,162.39,1085072221.0,2031.7
1983-06-01,162.38,171.6,160.8,167.64,1096588887.0,2051.8
1983-07-01,168.11,170.72,161.5,162.56,883427777.0,2069.7
1983-08-01,162.34,165.91,158.5,164.4,948016667.0,2072.5
1983-09-01,164.4,170.41,163.95,166.07,966561111.0,2081.1
1983-10-01,165.99,172.65,162.86,163.55,997011113.0,2102.1
1983-11-01,163.55,168.07,161.63,166.4,1008116666.0,2117.6
1983-12-01,166.37,166.77,161.58,164.93,1027144445.0,2134.0
1984-01-01,164.93,169.54,162.03,163.41,1230922222.0,2145.0
1984-02-01,163.41,164.0,152.13,157.06,1073783335.0,2147.7
1984-03-01,157.06,160.46,153.77,159.18,1030511111.0,2169.0
1984-04-01,159.18,160.69,154.12,160.05,954183332.0,2196.0
1984-05-01,160.05,162.11,148.68,150.55,1077527779.0,2191.4
1984-06-01,150.55,155.64,148.53,153.18,1007150000.0,2214.3
1984-07-01,153.16,153.87,147.26,150.66,923444445.0,2228.0
1984-08-01,150.66,168.8,150.66,166.68,1403844444.0,2228.9
1984-09-01,166.68,169.65,163.06,166.1,982588890.0,2242.8
1984-10-01,166.1,169.62,160.02,166.09,1172349999.0,2259.7
1984-11-01,166.09,170.41,162.99,163.58,976266664.0,2286.3
1984-12-01,163.58,169.03,161.54,167.24,989444445.0,2318.5
1985-01-01,167.2,180.27,163.36,179.63,1485394445.0,2339.6
1985-02-01,179.63,183.95,177.75,181.18,1219233333.0,2343.4
1985-03-01,181.18,183.89,176.53,180.66,1196161108.0,2360.4
1985-04-01,180.66,183.61,177.86,179.83,1101044442.0,2379.7
1985-05-01,179.83,189.98,178.35,189.55,1305744442.0,2376.4
1985-06-01,189.55,191.85,185.03,191.85,1176111111.0,2413.4
1985-07-01,191.85,196.07,189.3,190.92,1368372219.0,2434.8
1985-08-01,190.92,192.17,186.1,188.63,1068444445.0,2442.5
1985-09-01,188.63,188.8,179.45,182.08,1033422224.0,2452.7
1985-10-01,182.06,190.15,181.16,189.82,1412911110.0,2466.3
1985-11-01,189.82,203.4,189.37,202.17,1358538888.0,2482.0
1985-12-01,202.17,213.08,200.1,211.28,1557988886.0,2504.1
1986-01-01,211.28,214.57,202.6,211.78,1599450001.0,2510.8
1986-02-01,211.78,227.92,210.82,226.92,1610611110.0,2502.1
1986-03-01,226.92,240.11,222.18,238.9,1785888889.0,2527.6
1986-04-01,238.9,245.47,226.3,235.52,1800222221.0,2564.8
1986-05-01,235.52,249.19,232.26,247.35,1489022224.0,2571.1
1986-06-01,246.04,251.81,238.23,250.84,1472000000.0,2605.3
1986-07-01,250.67,253.2,233.07,236.12,1683277778.0,2632.4
1986-08-01,236.12,254.24,231.92,252.93,1501055556.0,2645.9
1986-09-01,252.93,254.13,228.08,231.32,1759055555.0,2661.7
1986-10-01,231.32,244.51,231.32,243.98,1675966668.0,2684.4
1986-11-01,243.97,249.22,235.51,249.22,1633794444.0,2705.2
1986-12-01,249.22,254.87,241.28,242.17,1811594443.0,2740.7
1987-01-01,242.17,280.96,242.17,274.08,2244933333.0,2753.5
1987-02-01,274.08,287.55,273.16,284.2,1936277778.0,2735.2
1987-03-01,284.17,302.72,282.3,291.7,2202833333.0,2748.0
1987-04-01,291.59,303.65,275.67,288.36,2184277780.0,2778.9
1987-05-01,286.99,298.69,277.01,290.1,1898722220.0,2759.7
1987-06-01,290.12,310.27,286.93,304.0,1997222222.0,2773.4
1987-07-01,303.99,318.85,302.53,318.66,2203555558.0,2785.2
1987-08-01,318.62,337.89,314.51,329.8,2256888888.0,2787.5
1987-09-01,329.81,332.18,308.56,321.83,2068444445.0,2793.3
1987-10-01,321.83,328.94,216.46,251.79,3385833334.0,2811.2
1987-11-01,251.73,257.21,225.75,230.3,1994183334.0,2821.6
1987-12-01,230.32,253.35,221.24,247.08,2181527779.0,2838.3
1988-01-01,247.1,261.78,240.17,257.07,1941500000.0,2857.2
1988-02-01,257.05,267.82,247.82,267.82,2051800001.0,2858.8
1988-03-01,267.82,272.64,256.07,258.89,2251650000.0,2886.7
1988-04-01,258.89,272.05,254.71,261.33,1811533331.0,2925.3
1988-05-01,261.36,263.7,248.85,262.16,1795205557.0,2910.7
1988-06-01,262.16,276.88,262.1,273.5,2392616666.0,2935.3
1988-07-01,273.5,276.36,262.48,272.02,1854705555.0,2953.2
1988-08-01,272.03,274.2,256.53,261.52,1848594447.0,2949.8
1988-09-01,261.52,274.87,256.98,271.91,1699694445.0,2950.1
1988-10-01,271.89,283.95,268.84,278.97,1897311111.0,2962.0
1988-11-01,278.97,280.37,262.85,273.7,1568233335.0,2982.7
1988-12-01,273.68,280.45,270.47,277.72,1580500002.0,3000.6
1989-01-01,277.72,297.51,273.81,297.47,1962344446.0,2998.9
1989-02-01,297.47,300.57,286.26,288.86,1786822222.0,2982.6
1989-03-01,288.86,299.99,286.46,294.87,1946961109.0,2999.0
1989-04-01,294.87,310.45,294.35,309.64,1798472222.0,3023.2
1989-05-01,309.64,323.06,304.06,320.52,2081844442.0,2996.0
1989-06-01,320.51,329.19,314.38,317.98,2203661110.0,3022.6
1989-07-01,317.98,346.08,317.26,346.08,1805016666.0,3055.6
1989-08-01,346.08,352.73,339.0,351.45,2193944447.0,3071.1
1989-09-01,351.45,354.13,341.37,349.15,1686122224.0,3086.3
1989-10-01,349.15,360.44,327.12,340.36,2229261112.0,3109.3
1989-11-01,340.36,346.5,330.91,345.99,1684533335.0,3136.0
1989-12-01,346.01,354.1,339.63,353.4,1785233336.0,3165.6
1990-01-01,353.4,360.59,319.83,329.08,2107361113.0,3170.4
1990-02-01,329.08,336.09,322.1,331.89,1645538887.0,3170.5
1990-03-01,331.89,344.49,331.08,339.94,1824044445.0,3192.6
1990-04-01,339.94,347.3,327.76,330.8,1556233334.0,3219.8
1990-05-01,330.8,362.26,330.8,361.23,1998155557.0,3186.7
1990-06-01,361.26,368.78,351.23,358.02,1792377778.0,3210.8
1990-07-01,358.02,369.78,350.09,356.15,1874188889.0,3224.5
1990-08-01,356.15,357.35,306.18,322.56,2233738890.0,3238.7
1990-09-01,322.56,326.53,295.98,306.05,1492933333.0,3249.0
1990-10-01,306.1,319.69,294.51,304.0,2039944442.0,3253.7
1990-11-01,303.99,323.02,301.61,322.22,1749872221.0,3265.3
1990-12-01,322.23,333.98,321.97,330.22,1731572222.0,3285.1
1991-01-01,330.2,343.93,309.35,343.93,2033466666.0,3289.3
1991-02-01,343.91,370.96,340.37,367.07,2390650001.0,3296.3
1991-03-01,367.07,379.66,363.73,375.22,2182177779.0,3327.3
1991-04-01,375.22,391.26,370.27,375.34,2231777778.0,3349.5
1991-05-01,375.35,389.85,365.83,389.83,2077611110.0,3330.3
1991-06-01,389.81,389.81,367.98,371.16,1810405555.0,3349.7
1991-07-01,371.18,387.81,370.92,387.81,1934205554.0,3354.4
1991-08-01,387.81,396.82,374.09,395.43,2063233334.0,3351.4
1991-09-01,395.43,397.62,382.77,387.86,1811661110.0,3347.6
1991-10-01,387.86,393.81,376.11,392.45,2267988887.0,3353.8
1991-11-01,392.46,398.22,371.63,375.22,2076455557.0,3371.2
1991-12-01,375.11,418.32,371.36,417.09,2308505556.0,3386.4
1992-01-01,417.03,421.18,408.64,408.78,2936822221.0,3383.2
1992-02-01,408.79,418.08,406.34,412.7,2370894445.0,3390.1
1992-03-01,412.68,413.78,401.94,403.69,2259022223.0,3404.8
1992-04-01,403.67,416.28,392.41,414.95,2397688890.0,3418.9
1992-05-01,414.95,418.75,409.85,415.35,2024433333.0,3388.0
1992-06-01,415.35,417.3,399.92,408.14,2366572220.0,3388.7
1992-07-01,408.2,424.8,407.2,424.21,2369566664.0,3393.2
1992-08-01,424.19,425.14,408.3,414.03,2029900001.0,3396.5
1992-09-01,414.03,425.27,412.71,417.8,2235472221.0,3401.2
1992-10-01,417.8,421.16,396.8,418.68,2503894443.0,3418.7
1992-11-01,418.66,431.93,415.58,431.35,2304872221.0,3433.4
1992-12-01,431.35,442.65,428.61,435.71,2708972221.0,3441.3
1993-01-01,435.7,442.66,426.88,438.78,2933805557.0,3423.6
1993-02-01,438.78,450.04,428.25,443.38,3023583332.0,3400.7
1993-03-01,443.38,456.76,441.07,451.67,3203861111.0,3410.5
1993-04-01,451.67,452.63,432.3,440.19,3251761113.0,3430.4
1993-05-01,440.19,454.55,436.86,450.19,2838133333.0,3425.0
1993-06-01,450.23,455.63,442.5,450.53,3080222222.0,3439.5
1993-07-01,450.54,451.15,441.4,448.13,2949183332.0,3442.6
1993-08-01,448.13,463.56,446.94,463.56,3059000002.0,3440.9
1993-09-01,463.55,463.8,449.64,458.93,3084844443.0,3443.5
1993-10-01,458.93,471.1,456.4,467.83,3300255555.0,3452.7
1993-11-01,467.83,469.11,454.36,461.79,3264783334.0,3474.7
1993-12-01,461.93,471.29,461.45,466.45,3217338889.0,3495.1
1994-01-01,466.51,482.85,464.36,481.61,3681883334.0,3480.1
1994-02-01,481.6,482.23,464.26,467.14,3251722222.0,3459.7
1994-03-01,467.19,471.09,436.16,445.77,4013894446.0,3477.2
1994-04-01,445.66,452.79,435.86,450.91,3186116668.0,3503.1
1994-05-01,450.91,457.77,440.78,456.5,3153316667.0,3474.5
1994-06-01,456.5,463.23,439.83,444.27,3251483335.0,3477.4
1994-07-01,444.27,459.33,443.58,458.26,2766722222.0,3491.5
1994-08-01,458.28,477.59,456.08,475.49,3554861113.0,3481.6
1994-09-01,475.49,475.49,458.47,462.71,3418261109.0,3476.8
1994-10-01,462.69,474.74,449.27,472.35,3524833333.0,3478.2
1994-11-01,472.26,472.26,444.18,453.69,3472911113.0,3491.8
1994-12-01,453.55,462.73,442.88,459.27,3528627777.0,3507.8
1995-01-01,459.21,471.36,457.2,470.42,3806700001.0,3495.3
1995-02-01,470.42,489.19,469.29,487.39,3516722221.0,3474.9
1995-03-01,487.39,508.15,479.7,500.71,4329111109.0,3491.7
1995-04-01,500.7,515.29,500.2,514.71,3503905556.0,3522.4
1995-05-01,514.76,533.41,513.03,533.4,4197605555.0,3506.7
1995-06-01,533.4,551.07,526.0,544.75,4197583333.0,3545.5
1995-07-01,544.75,565.4,542.51,562.06,4059977778.0,3569.7
1995-08-01,562.06,565.62,553.04,561.88,3970344445.0,3585.2
1995-09-01,561.88,587.61,561.01,584.41,3918238888.0,3594.6
1995-10-01,584.41,590.66,571.55,581.5,4468511111.0,3602.3
1995-11-01,581.5,608.69,581.04,605.37,4223416666.0,3622.9
1995-12-01,605.37,622.88,605.05,615.93,4276411115.0,3653.3
1996-01-01,615.93,636.18,597.29,636.02,5104472223.0,3651.3
1996-02-01,636.02,664.23,633.71,640.43,4861088889.0,3647.5
1996-03-01,640.43,656.97,627.63,645.5,4991222222.0,3694.0
1996-04-01,645.5,656.68,624.14,654.17,4930877777.0,3720.6
1996-05-01,654.17,681.1,630.07,669.12,4956188891.0,3690.1
1996-06-01,669.12,680.32,658.75,670.63,4406022223.0,3721.0
1996-07-01,670.63,675.88,605.88,639.95,4916588889.0,3734.1
1996-08-01,639.95,670.68,639.49,651.99,4100177777.0,3741.6
1996-09-01,651.99,690.88,643.97,687.33,4480038888.0,3744.2
1996-10-01,687.31,714.1,684.44,705.27,5390927779.0,3758.7
1996-11-01,705.27,762.12,701.3,757.02,4868805555.0,3797.2
1996-12-01,757.02,761.75,716.69,740.74,5049538888.0,3839.8
1997-01-01,740.74,794.67,729.55,786.16,6464349998.0,3839.5
1997-02-01,786.16,817.68,773.43,790.82,5397738890.0,3835.1
1997-03-01,790.82,814.9,756.13,757.12,5622644442.0,3873.2
1997-04-01,757.12,804.13,733.54,801.34,5808266665.0,3905.7
1997-05-01,801.34,851.87,793.21,848.28,5614805555.0,3869.4
1997-06-01,848.28,902.09,838.82,885.14,6032194443.0,3899.5
1997-07-01,885.14,957.73,884.54,954.31,6643400001.0,3918.5
1997-08-01,954.29,964.17,893.34,899.47,5892277779.0,3953.2
1997-09-01,899.47,960.59,899.47,947.28,6323888891.0,3961.5
1997-10-01,947.28,983.12,855.27,914.62,7787366667.0,3977.2
1997-11-01,914.62,964.55,900.61,955.4,5652011111.0,4015.8
1997-12-01,955.4,986.25,924.92,970.43,6643822225.0,4055.1
1998-01-01,970.43,992.65,912.83,980.28,7074350003.0,4062.5
1998-02-01,980.28,1051.66,980.28,1049.34,6475861110.0,4080.1
1998-03-01,1049.34,1113.07,1030.87,1101.75,7621994443.0,4131.7
1998-04-01,1101.75,1132.98,1076.7,1111.75,7586699999.0,4174.6
1998-05-01,1111.75,1130.52,1074.39,1090.82,6376188890.0,4144.0
1998-06-01,1090.82,1145.15,1074.67,1133.84,7528872223.0,4174.6
1998-07-01,1133.84,1190.58,1114.3,1120.67,7886000001.0,4193.2
1998-08-01,1120.67,1121.79,957.28,957.28,8373083335.0,4220.3
1998-09-01,957.28,1066.11,939.98,1017.01,9285600002.0,4254.4
1998-10-01,1017.01,1103.78,923.32,1098.67,10000916665.0,4291.4
1998-11-01,1098.67,1192.97,1098.67,1163.63,7472933335.0,4345.9
1998-12-01,1163.63,1244.93,1136.89,1229.23,8434138890.0,4399.6
1999-01-01,1229.23,1280.37,1205.46,1279.64,9007500001.0,4409.5
1999-02-01,1279.64,1283.84,1211.89,1238.33,8086588888.0,4418.7
1999-03-01,1238.33,1323.82,1216.03,1286.37,10001388890.0,4455.6
1999-04-01,1286.37,1371.56,1282.56,1335.18,10290666667.0,4501.4
1999-05-01,1335.18,1375.98,1277.31,1301.84,8822366667.0,4464.1
1999-06-01,1301.84,1372.93,1277.47,1372.71,8932872226.0,4494.7
1999-07-01,1372.71,1420.33,1328.49,1328.72,8518294443.0,4519.6
1999-08-01,1328.72,1382.84,1267.73,1320.41,8788083333.0,4539.4
1999-09-01,1320.41,1361.39,1256.26,1282.71,9132611113.0,4553.1
1999-10-01,1282.71,1373.17,1233.7,1362.93,10462222222.0,4574.8
1999-11-01,1362.93,1425.31,1346.41,1389.07,10213788889.0,4610.2
1999-12-01,1388.91,1473.13,1387.38,1469.25,10911494445.0,4664.5
2000-01-01,1469.25,1478.0,1350.14,1394.46,11941333334.0,4672.6
2000-02-01,1394.46,1444.55,1325.07,1366.42,11617777779.0,4674.4
2000-03-01,1366.42,1552.87,1346.62,1498.58,14531222225.0,4736.0
2000-04-01,1498.58,1527.19,1339.4,1452.43,11170255554.0,4806.1
2000-05-01,1452.43,1481.51,1361.09,1420.6,11054611110.0,4732.3
2000-06-01,1420.6,1488.93,1420.6,1454.6,12076833336.0,4757.7
2000-07-01,1454.6,1517.32,1413.89,1430.83,10605055554.0,4773.9
2000-08-01,1430.83,1525.21,1425.43,1517.68,11313166668.0,4804.4
2000-09-01,1517.68,1530.09,1419.44,1436.51,11576833333.0,4840.0
2000-10-01,1436.52,1454.82,1305.79,1429.4,14417444445.0,4853.9
2000-11-01,1429.4,1438.46,1294.9,1314.95,11406833334.0,4882.0
2000-12-01,1314.95,1389.05,1254.07,1320.28,13117111114.0,4953.0
2001-01-01,1320.28,1383.37,1274.62,1366.01,15461000000.0,4979.0
2001-02-01,1366.01,1376.38,1215.44,1239.94,12024666666.0,5008.0
2001-03-01,1239.94,1267.42,1081.19,1160.33,15448116667.0,5098.3
2001-04-01,1160.33,1269.3,1091.99,1249.46,14116661111.0,5174.1
2001-05-01,1249.46,1315.93,1232.0,1255.82,13625500000.0,5111.2
2001-06-01,1255.82,1286.62,1203.03,1224.38,13748905556.0,5160.6
2001-07-01,1224.42,1239.78,1165.54,1211.23,13218727778.0,5189.2
2001-08-01,1211.23,1226.27,1124.87,1133.58,12977333333.0,5225.0
2001-09-01,1133.58,1155.4,944.75,1040.94,13902938889.0,5336.6
2001-10-01,1040.94,1110.61,1026.76,1059.78,16639600001.0,5321.7
2001-11-01,1059.78,1163.38,1054.31,1139.45,14627777780.0,5384.7
2001-12-01,1139.45,1173.62,1114.53,1148.08,13960316666.0,5465.0
2002-01-01,1148.08,1176.97,1081.66,1130.2,16525666669.0,5451.0
2002-02-01,1130.2,1130.2,1074.36,1106.73,14470888889.0,5470.4
2002-03-01,1106.73,1173.94,1106.73,1147.39,14757333332.0,5519.2
2002-04-01,1147.39,1147.84,1063.46,1076.92,15871611110.0,5533.4
2002-05-01,1076.92,1106.59,1048.96,1067.14,14947500000.0,5499.8
2002-06-01,1067.14,1070.74,952.92,989.82,16656394445.0,5537.8
2002-07-01,989.82,994.46,775.68,911.62,23460399999.0,5578.7
2002-08-01,911.62,965.0,833.44,916.07,16276888887.0,5621.7
