Date,Open,High,Low,Close,Volume,M2NS
2002-09-01,916.07,924.02,800.2,815.28,15402061112.0,5646.5
2002-10-01,815.28,907.44,768.63,885.76,21031283335.0,5685.3
2002-11-01,885.76,941.82,872.05,936.31,16222755556.0,5757.5
2002-12-01,936.31,954.28,869.45,879.82,14440911110.0,5804.0
2003-01-01,879.82,935.05,840.34,855.7,17083099998.0,5793.5
2003-02-01,855.7,864.64,806.29,841.15,14019611111.0,5820.8
2003-03-01,841.15,895.9,788.9,848.18,16711127779.0,5882.1
2003-04-01,848.18,924.24,847.85,916.92,16483116666.0,5938.5
2003-05-01,916.92,965.38,902.83,963.59,17195611111.0,5938.2
2003-06-01,963.59,1015.33,963.59,974.5,17344111112.0,5992.4
2003-07-01,974.5,1015.41,962.1,990.31,17529555555.0,6035.3
2003-08-01,990.31,1011.01,960.84,1008.01,13823038889.0,6091.8
2003-09-01,1008.01,1040.29,990.36,995.97,16633394445.0,6063.9
2003-10-01,995.97,1053.79,995.97,1050.71,17943611112.0,6048.3
2003-11-01,1050.71,1063.65,1031.2,1058.2,13590677779.0,6077.0
2003-12-01,1058.2,1112.56,1053.41,1111.92,15466183332.0,6098.6
2004-01-01,1111.92,1155.38,1105.08,1131.13,18233333332.0,6058.9
2004-02-01,1131.13,1158.98,1124.44,1144.94,15547555554.0,6089.0
2004-03-01,1144.94,1163.23,1087.16,1126.21,18665499999.0,6168.5
2004-04-01,1126.21,1150.57,1107.23,1107.3,17562166667.0,6235.9
2004-05-01,1107.3,1127.74,1076.32,1120.68,16292444444.0,6249.6
2004-06-01,1120.68,1146.34,1113.32,1140.84,15294166667.0,6272.8
2004-07-01,1140.84,1140.84,1078.78,1101.72,16269777778.0,6279.1
2004-08-01,1101.72,1109.68,1060.72,1104.24,14770444443.0,6300.9
2004-09-01,1104.24,1131.54,1099.18,1114.58,14905483332.0,6334.0
2004-10-01,1114.58,1142.05,1090.29,1130.2,17506111110.0,6355.6
2004-11-01,1130.2,1188.46,1127.6,1173.82,16922377778.0,6405.1
2004-12-01,1173.78,1217.33,1173.78,1211.92,17279166667.0,6447.4
2005-01-01,1211.92,1217.8,1163.75,1181.27,17499333333.0,6404.1
2005-02-01,1181.27,1212.44,1180.95,1203.6,16276338888.0,6405.7
2005-03-01,1203.6,1229.11,1163.69,1180.59,21674527778.0,6464.9
2005-04-01,1180.59,1191.88,1136.15,1156.85,24124594443.0,6508.3
2005-05-01,1156.85,1199.56,1146.18,1191.5,21845550000.0,6459.8
2005-06-01,1191.5,1219.59,1188.3,1191.33,22407800000.0,6511.8
2005-07-01,1191.33,1245.15,1183.55,1234.18,20813705553.0,6530.7
2005-08-01,1234.18,1245.86,1201.07,1220.33,23350050001.0,6555.0
2005-09-01,1220.33,1243.13,1205.35,1228.81,24876394444.0,6587.7
2005-10-01,1228.81,1233.34,1168.2,1207.01,27663216665.0,6615.0
2005-11-01,1207.01,1270.64,1201.07,1249.48,25057150000.0,6655.7
2005-12-01,1249.48,1275.8,1246.59,1248.29,23197850001.0,6708.9
2006-01-01,1248.29,1294.9,1245.74,1280.08,27339805558.0,6707.1
2006-02-01,1280.08,1297.57,1253.61,1280.66,23811077777.0,6724.2
2006-03-01,1280.66,1310.88,1268.42,1294.87,28280577778.0,6796.7
2006-04-01,1302.88,1318.16,1280.74,1310.61,24060238890.0,6860.1
2006-05-01,1310.61,1326.7,1245.34,1270.09,30173794443.0,6798.4
2006-06-01,1270.05,1290.68,1219.29,1270.2,30485144444.0,6852.1
2006-07-01,1270.06,1280.42,1224.54,1276.66,25749011112.0,6873.6
2006-08-01,1278.53,1306.74,1261.3,1303.82,28047566667.0,6892.3
2006-09-01,1303.8,1340.28,1290.93,1335.85,27223022222.0,6919.7
2006-10-01,1335.82,1389.45,1327.1,1377.94,31552011111.0,6962.5
2006-11-01,1377.76,1407.89,1360.98,1400.63,30746627777.0,7024.9
2006-12-01,1400.63,1431.81,1385.93,1418.3,26432655554.0,7100.1
2007-01-01,1418.03,1441.61,1403.97,1438.24,31492333333.0,7098.2
2007-02-01,1437.9,1461.57,1389.42,1406.82,28802772220.0,7109.7
2007-03-01,1406.8,1438.89,1363.98,1420.86,37567916666.0,7207.6
2007-04-01,1420.83,1498.02,1416.37,1482.37,31684705556.0,7296.5
2007-05-01,1482.37,1535.56,1476.7,1530.62,36087805555.0,7241.0
2007-06-01,1530.62,1540.56,1484.18,1503.35,36290444444.0,7285.1
2007-07-01,1504.66,1555.9,1454.25,1455.27,39076350000.0,7287.9
2007-08-01,1455.18,1503.89,1370.6,1473.99,50767644446.0,7347.2
2007-09-01,1473.96,1538.74,1439.29,1526.75,32116499999.0,7367.6
2007-10-01,1527.29,1576.09,1489.56,1549.38,42234766664.0,7378.6
2007-11-01,1545.79,1545.79,1406.1,1481.14,47914972224.0,7436.8
2007-12-01,1479.63,1523.57,1435.65,1468.36,36012038888.0,7504.2
2008-01-01,1467.97,1471.77,1270.05,1378.55,54708522221.0,7502.6
2008-02-01,1378.6,1396.02,1316.75,1330.63,43631183333.0,7585.2
2008-03-01,1330.45,1359.68,1256.98,1322.7,51771761111.0,7719.2
2008-04-01,1326.41,1404.57,1324.35,1385.59,47765905556.0,7767.6
2008-05-01,1385.97,1440.24,1373.07,1400.38,44994711111.0,7709.1
2008-06-01,1399.62,1404.05,1272.0,1280.0,53674466666.0,7731.7
2008-07-01,1276.69,1292.17,1200.44,1267.38,69433649999.0,7745.0
2008-08-01,1269.42,1313.15,1247.45,1282.83,47925561111.0,7742.7
2008-09-01,1287.83,1303.04,1106.42,1166.36,77781844443.0,7815.6
2008-10-01,1164.17,1167.03,839.8,968.75,88790572223.0,7922.1
2008-11-01,968.67,1007.51,741.02,896.24,64255672223.0,8012.5
2008-12-01,888.61,918.85,815.69,903.25,62713594442.0,8231.5
2009-01-01,902.99,943.85,804.3,825.88,62272577777.0,8276.4
2009-02-01,823.09,875.01,734.52,735.09,69162338890.0,8305.2
2009-03-01,729.57,832.98,666.79,797.87,89913133333.0,8441.1
2009-04-01,793.59,888.7,783.32,872.81,77141844445.0,8441.5
2009-05-01,872.74,930.17,866.1,919.14,73119411113.0,8428.6
2009-06-01,923.26,956.23,888.86,919.32,62585083333.0,8441.3
2009-07-01,920.82,996.68,869.32,987.48,59242105555.0,8407.6
2009-08-01,990.22,1039.47,978.51,1020.62,64477372223.0,8386.7
2009-09-01,1019.52,1080.15,991.97,1057.08,62386383333.0,8394.9
2009-10-01,1054.91,1101.36,1019.95,1036.19,63006105555.0,8426.4
2009-11-01,1036.18,1113.69,1029.38,1095.63,47211961111.0,8501.2
2009-12-01,1098.89,1130.38,1085.89,1115.1,49730738885.0,8543.7
2010-01-01,1116.56,1150.45,1071.59,1073.87,50526433334.0,8464.4
2010-02-01,1073.89,1112.42,1044.5,1104.49,46978522223.0,8508.4
2010-03-01,1105.36,1180.69,1105.36,1169.43,57601972221.0,8576.6
2010-04-01,1171.23,1219.8,1170.69,1186.69,64856616666.0,8601.8
2010-05-01,1188.58,1205.13,1040.78,1089.41,70923766664.0,8584.2
2010-06-01,1087.3,1131.23,1028.33,1030.71,61170416668.0,8606.4
2010-07-01,1031.1,1120.95,1010.91,1101.6,52654505553.0,8576.9
2010-08-01,1107.53,1129.24,1039.7,1049.33,47632361110.0,8607.7
2010-09-01,1049.72,1157.16,1049.72,1141.2,44216361108.0,8649.5
2010-10-01,1143.49,1196.14,1131.87,1183.26,49742372224.0,8710.4
2010-11-01,1185.71,1227.08,1173.0,1180.55,48417261112.0,8775.5
2010-12-01,1186.6,1262.6,1186.6,1257.64,44991405555.0,8857.6
2011-01-01,1257.62,1302.67,1257.62,1286.12,51202744443.0,8850.0
2011-02-01,1289.14,1344.07,1289.14,1327.22,32902033335.0,8887.1
2011-03-01,1328.64,1332.28,1249.05,1325.83,49726466668.0,9000.6
2011-04-01,1329.48,1364.56,1294.7,1363.61,42980449999.0,9055.6
2011-05-01,1365.21,1370.58,1311.8,1345.2,45393877781.0,9025.6
2011-06-01,1345.2,1345.2,1258.07,1320.64,47845961112.0,9113.9
2011-07-01,1320.64,1356.48,1282.86,1292.28,45056761113.0,9266.6
2011-08-01,1292.59,1307.38,1101.54,1218.89,60232872223.0,9461.8
2011-09-01,1219.12,1229.29,1114.22,1131.42,57103788887.0,9500.3
2011-10-01,1131.21,1292.66,1074.77,1253.3,54479816667.0,9550.1
2011-11-01,1251.0,1277.55,1158.66,1246.96,46819472221.0,9633.1
2011-12-01,1246.91,1269.37,1202.37,1257.6,41523572223.0,9729.2
2012-01-01,1258.86,1333.47,1258.86,1312.41,44204199999.0,9761.9
2012-02-01,1312.45,1378.04,1312.45,1365.68,43547616666.0,9787.0
2012-03-01,1365.9,1419.15,1340.03,1408.47,46610922225.0,9903.1
2012-04-01,1408.47,1422.38,1357.38,1397.91,41534283333.0,9948.9
2012-05-01,1397.86,1415.32,1291.98,1310.33,48289161111.0,9882.9
2012-06-01,1309.87,1363.46,1266.74,1362.16,45323577778.0,9960.8
2012-07-01,1362.33,1391.74,1325.41,1379.32,40613227776.0,10005.9
2012-08-01,1379.32,1426.68,1354.65,1406.58,39046561111.0,10069.0
2012-09-01,1406.54,1474.51,1396.56,1440.67,38769044443.0,10165.2
2012-10-01,1440.9,1470.96,1403.28,1412.16,39862399998.0,10245.8
2012-11-01,1412.2,1434.27,1343.35,1416.18,39716283335.0,10343.0
2012-12-01,1416.34,1448.0,1398.11,1426.19,36882322222.0,10531.4
2013-01-01,1426.19,1509.94,1426.19,1498.11,42138061110.0,10506.6
2013-02-01,1498.11,1530.94,1485.01,1514.68,38485266666.0,10480.0
2013-03-01,1514.68,1570.28,1501.48,1569.19,38070616668.0,10626.9
2013-04-01,1569.18,1597.57,1536.03,1597.57,42832222222.0,10655.8
2013-05-01,1597.55,1687.18,1581.28,1630.74,42470694447.0,10578.7
2013-06-01,1631.71,1654.19,1560.33,1606.28,41637105556.0,10643.3
2013-07-01,1609.78,1698.78,1604.57,1685.73,37837122221.0,10682.3
2013-08-01,1689.42,1709.67,1627.47,1632.97,36001561112.0,10738.0
2013-09-01,1635.95,1729.86,1633.41,1681.55,36763561110.0,10805.9
2013-10-01,1682.41,1775.22,1646.47,1756.54,42581888889.0,10933.0
2013-11-01,1758.7,1813.55,1746.2,1805.81,35348994444.0,10977.2
2013-12-01,1806.55,1849.44,1767.99,1848.36,36088233332.0,11104.3
2014-01-01,1845.86,1850.84,1770.45,1782.59,42151061111.0,11101.6
2014-02-01,1782.68,1867.92,1737.92,1859.45,38736438890.0,11153.4
2014-03-01,1857.68,1883.97,1834.44,1872.34,39936127779.0,11278.4
2014-04-01,1873.96,1897.28,1814.36,1883.95,39775450001.0,11331.6
2014-05-01,1884.39,1924.03,1859.79,1923.57,35346461112.0,11274.8
2014-06-01,1923.87,1968.17,1915.98,1960.23,35157433333.0,11336.8
2014-07-01,1962.29,1991.39,1930.67,1930.67,36958161110.0,11391.8
2014-08-01,1929.8,2005.04,1904.78,2003.37,32295077776.0,11422.7
2014-09-01,2004.07,2019.26,1964.04,1972.29,37058888889.0,11470.6
2014-10-01,1971.44,2018.19,1820.66,2018.05,52063355557.0,11538.6
2014-11-01,2018.21,2075.76,2001.01,2067.56,35333438888.0,11615.0
2014-12-01,2065.78,2093.55,1972.56,2058.9,44857677778.0,11760.0
2015-01-01,2058.9,2072.36,1988.12,1994.99,42961133334.0,11759.0
2015-02-01,1996.67,2119.59,1980.9,2104.5,38208644446.0,11847.1
2015-03-01,2105.23,2117.52,2039.69,2067.89,42597694444.0,11956.7
2015-04-01,2067.63,2125.92,2048.38,2085.51,40033855554.0,12004.7
2015-05-01,2087.38,2134.72,2067.93,2107.39,36215405555.0,11907.9
2015-06-01,2108.64,2129.87,2056.32,2063.11,40674433334.0,11962.5
2015-07-01,2067.0,2132.82,2044.02,2103.84,43289216666.0,12012.9
2015-08-01,2104.49,2112.66,1867.01,1972.18,47014883334.0,12070.4
2015-09-01,1970.09,2020.86,1871.91,1920.03,44438538889.0,12138.2
2015-10-01,1919.65,2094.32,1893.7,2079.36,47691611111.0,12171.5
2015-11-01,2080.76,2116.48,2019.39,2080.41,42190883334.0,12297.9
2015-12-01,2082.93,2104.27,1993.26,2043.94,46471811112.0,12427.3
2016-01-01,2038.2,2038.2,1812.29,1940.24,51338761111.0,12478.4
2016-02-01,1936.94,1962.96,1810.1,1932.23,51694200001.0,12517.1
2016-03-01,1937.09,2072.21,1937.09,2059.74,51466344444.0,12684.8
2016-04-01,2056.62,2111.05,2033.8,2065.3,45069438891.0,12778.6
2016-05-01,2067.17,2103.48,2025.91,2096.95,43824222222.0,12708.4
2016-06-01,2093.94,2120.55,1991.68,2098.86,48251499999.0,12789.0
2016-07-01,2099.34,2177.09,2074.02,2173.6,38627916669.0,12850.1
2016-08-01,2173.15,2193.81,2147.58,2170.95,42005727779.0,12946.7
2016-09-01,2171.33,2187.87,2119.12,2168.27,42927911109.0,13016.2
2016-10-01,2164.33,2169.6,2114.72,2126.15,40664794445.0,13079.4
2016-11-01,2128.68,2214.1,2083.79,2198.81,49055422221.0,13191.8
2016-12-01,2200.17,2277.53,2187.44,2238.83,41806244445.0,13299.9
2017-01-01,2251.57,2300.99,2245.13,2278.87,39157322225.0,13281.6
2017-02-01,2285.59,2371.54,2271.65,2363.64,38423566667.0,13305.6
2017-03-01,2380.13,2400.98,2322.25,2362.72,45304316665.0,13491.7
2017-04-01,2362.34,2398.16,2328.95,2384.2,36258705554.0,13565.0
2017-05-01,2388.5,2418.71,2352.72,2411.8,44226205556.0,13474.1
2017-06-01,2415.65,2453.82,2405.7,2423.41,45001383335.0,13522.1
2017-07-01,2431.39,2484.04,2407.7,2470.3,35094111112.0,13584.4
2017-08-01,2477.1,2490.87,2417.35,2471.65,39231127777.0,13653.7
2017-09-01,2474.42,2519.44,2446.55,2519.36,36854433335.0,13705.5
2017-10-01,2521.2,2582.98,2520.4,2575.26,39373094446.0,13750.7
2017-11-01,2583.21,2657.74,2557.45,2647.58,40651811110.0,13819.9
2017-12-01,2645.1,2694.97,2605.52,2673.61,36250661111.0,13945.0
2018-01-01,2683.73,2872.87,2682.36,2823.81,42700066668.0,13863.1
2018-02-01,2816.45,2835.96,2532.69,2713.83,44210783334.0,13849.1
2018-03-01,2715.22,2801.9,2585.89,2640.87,42427666668.0,14031.0
2018-04-01,2633.45,2717.49,2553.8,2648.05,38693661110.0,14069.5
2018-05-01,2642.96,2742.24,2594.62,2705.27,42009600001.0,13980.4
2018-06-01,2718.7,2791.47,2691.99,2718.37,43022061111.0,14074.7
2018-07-01,2704.95,2848.03,2698.95,2816.29,35856761112.0,14109.6
2018-08-01,2821.17,2916.5,2796.34,2901.52,38465677777.0,14164.9
2018-09-01,2896.96,2940.91,2864.12,2913.98,34717822221.0,14199.5
2018-10-01,2926.29,2939.86,2603.54,2711.74,50737738886.0,14201.4
2018-11-01,2717.58,2815.15,2631.09,2760.17,44488950002.0,14255.1
2018-12-01,2790.5,2800.18,2346.58,2506.85,46401427779.0,14448.8
2019-01-01,2476.96,2708.95,2443.96,2704.1,44667572224.0,14423.8
2019-02-01,2702.32,2813.49,2681.83,2784.49,38990794445.0,14401.9
2019-03-01,2798.22,2860.31,2722.27,2834.4,43664600000.0,14572.5
2019-04-01,2848.63,2949.52,2848.63,2945.83,38669355556.0,14623.0
2019-05-01,2952.33,2954.13,2750.52,2752.06,42700066667.0,14575.0
2019-06-01,2751.53,2964.15,2728.81,2941.76,39378550001.0,14734.8
2019-07-01,2971.41,3027.98,2952.22,2980.38,39083038891.0,14814.4
2019-08-01,2980.32,3013.59,2822.12,2926.46,44221911112.0,14896.1
2019-09-01,2909.01,3021.99,2891.85,2976.74,41106850002.0,14986.8
2019-10-01,2983.69,3050.1,2855.94,3037.56,43091416667.0,15112.2
2019-11-01,3050.72,3154.26,3050.72,3140.98,40099955556.0,15259.4
2019-12-01,3143.85,3247.93,3070.33,3230.78,40030000000.0,15412.5
2020-01-01,3244.67,3337.77,3214.64,3225.52,42835788888.0,15397.1
2020-02-01,3235.66,3393.52,2855.84,2954.22,46829038886.0,15382.3
2020-03-01,2974.28,3136.72,2191.86,2584.59,89889499999.0,16051.5
2020-04-01,2498.08,2954.86,2447.49,2912.43,68424138891.0,17097.7
2020-05-01,2869.09,3068.67,2766.64,3044.31,60623327144.0,17762.5
2020-06-01,3038.78,3233.13,2965.66,3100.29,72383009071.0,18099.1
2020-07-01,3105.92,3279.99,3101.17,3271.12,54562572756.0,18248.1
2020-08-01,3288.26,3514.77,3284.53,3500.31,46177493853.0,18315.1
2020-09-01,3507.44,3588.11,3209.45,3363.0,55380479265.0,18538.7
2020-10-01,3385.87,3549.85,3233.94,3269.96,51343018839.0,18684.8
2020-11-01,3296.2,3645.99,3279.74,3621.63,53383778247.0,18975.4
2020-12-01,3645.87,3760.2,3633.4,3756.07,50112740410.0,19242.2
2021-01-01,3764.61,3870.9,3662.71,3714.24,51489765477.0,19366.9
2021-02-01,3731.17,3950.43,3725.62,3811.15,45493827602.0,19518.8
2021-03-01,3842.51,3994.41,3723.34,3972.89,61352199992.0,19940.5
2021-04-01,3992.78,4218.78,3992.78,4181.17,44703408278.0,20263.6
2021-05-01,4191.98,4238.04,4056.88,4204.11,44812615473.0,20311.4
2021-06-01,4216.52,4302.43,4164.4,4297.5,45553300904.0,20431.6
2021-07-01,4300.73,4429.97,4233.13,4395.26,41975109793.0,20556.2
2021-08-01,4406.86,4537.36,4367.73,4522.68,41027638006.0,20749.0
2021-09-01,4528.8,4545.85,4305.91,4307.54,43229019964.0,20922.0
2021-10-01,4317.16,4608.08,4278.94,4605.38,41619724648.0,21088.3
2021-11-01,4610.62,4743.83,4560.0,4567.0,47312253989.0,21323.7
2021-12-01,4602.82,4808.93,4495.12,4766.18,50024560087.0,21647.9
2022-01-01,4778.14,4818.62,4222.62,4515.55,54796994735.0,21628.4
2022-02-01,4519.57,4595.31,4114.65,4373.94,50746267442.0,21582.3
2022-03-01,4363.14,4637.3,4157.87,4530.41,61901084404.0,21855.9
2022-04-01,4540.32,4593.45,4124.28,4131.93,49207871214.0,21849.0
2022-05-01,4130.61,4307.66,3810.32,4132.15,55290922873.0,21552.3
2022-06-01,4149.78,4177.51,3636.87,3785.38,52940189186.0,21578.6
2022-07-01,3781.0,4140.15,3721.56,4130.29,44918196307.0,21577.8
2022-08-01,4112.38,4325.28,3954.53,3955.0,46920810234.278,21551.5
2022-09-01,3936.73,4119.28,3584.13,3585.62,53105767851.071,21473.4
2022-10-01,3609.78,3905.42,3491.58,3871.98,56786538055.0,21380.1
2022-11-01,3901.79,4080.11,3698.15,4080.11,52309036745.0,21378.7
2022-12-01,4087.14,4100.96,3764.49,3839.5,48456125489.0,21400.0
2023-01-01,3853.29,4094.21,3794.33,4076.6,49076004274.0,21251.5
2023-02-01,4070.07,4195.44,3943.08,3970.15,46848082217.0,21098.8
